Variable Name,Label,Type,Data Type,Value Codes,Missing Code
VAR106,Would you like more narratives like this?,Single-Choice - Radio Buttons,Numeric,"1 = Yes
2 = Maybe
3 = No",999
VAR107,Did you notice any issues or inconsistencies compared to the persona that you selected?,Single-Choice - Radio Buttons,Numeric,"1 = Yes
2 = No
3 = Not sure",999
VAR108,"If yes or not sure, briefly state where, or copy paste from the narrative:",Text - Memo,String,none,
VAR109,How much did the issues bother you?,Numeric - Slider,Numeric,none,
VAR110,Describe one inconsistency/issue and how it affected you:,Text - Memo,String,none,
VAR111,What are your general reflections after reading the narrative?,Text - Memo,String,none,
VAR112,How did you experience the narratives overall?,Text - Memo,String,none,
VAR113,How relevant were these narratives to you?,Numeric - Slider,Numeric,none,
VAR114,Did the narratives feel culturally relatable to you?,Single-Choice - Radio Buttons,Numeric,"1 = Yes
2 = Maybe
3 = No",999
VAR115,"Please, motivate your answer:",Text - Memo,String,none,
VAR116,Would you like to use a such a functionality in an app in the future?,Single-Choice - Radio Buttons,Numeric,"1 = Yes
2 = Maybe
3 = No",999
VAR117,In what way would you like to use this kind of narration/storytelling about your past and potential future activities? ,Text - Memo,String,none,
